nome,preco,classificado,categoria,site,data_raspagem
"A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja","R$ 34,93",#86,books,Amazon,2024-11-18 22:20:36
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 46,77",#87,books,Amazon,2024-11-18 22:20:37
Onde Está a Bluey?: Um Livro de Esconde-Esconde,"R$ 18,05",#88,books,Amazon,2024-11-18 22:20:37
Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"R$ 31,58",#89,books,Amazon,2024-11-18 22:20:37
Antes que o café esfrie: 1,"R$ 29,91",#90,books,Amazon,2024-11-18 22:20:37
História de uma alma,"R$ 17,34",#91,books,Amazon,2024-11-18 22:20:37
O Show da Luna - Descobrindo os dinossauros,"R$ 1,90",#92,books,Amazon,2024-11-18 22:20:38
Cem anos de solidão,"R$ 37,64",#93,books,Amazon,2024-11-18 22:20:38
As obras revolucionárias de George Orwell - Box com 3 livros,"R$ 27,40",#94,books,Amazon,2024-11-18 22:20:38
Mindset: A nova psicologia do sucesso,"R$ 42,45",#95,books,Amazon,2024-11-18 22:20:38
500 adesivos Divertida Mente 2,"R$ 20,90",#96,books,Amazon,2024-11-18 22:20:38
Feliz ano velho,"R$ 44,85",#97,books,Amazon,2024-11-18 22:20:39
Nunca é hora de parar: Liberte sua mente e desenvolva seu potencial inexplorado,"R$ 39,45",#98,books,Amazon,2024-11-18 22:20:39
Torto arado,"R$ 47,67",#99,books,Amazon,2024-11-18 22:20:39
One Piece Receitas Piratas 01,"R$ 67,93",#100,books,Amazon,2024-11-18 22:20:39
